School,ICSEA
Perth Modern School,1239
St Hilda's Anglican School for Girls,1197
Christ Church Grammar School,1180
Rossmoyne Senior High School,1121
St Mary's Anglican Girls' School,1158
Hale School,1165
All Saints' College,1154
Shenton College,1159
Willetton Senior High School,1117
Presbyterian Ladies' College,1111
Perth College,1153
Methodist Ladies' College,1150
Langford Islamic College,1098
International School of Western Australia,1182
Rehoboth Christian College,1114
John Curtin College of the Arts,1120
Applecross Senior High School,1111
Frederick Irwin Anglican School,1088
Churchlands Senior High School,1118
St George's Anglican Grammar School,1148
Wesley College,1143
Kingsway Christian College,1121
John XXIII College,1170
Leeming Senior High School,1071
Scotch College,1165
Iona Presentation College,1124
Penrhos College,1051
Mount Lawley Senior High School,1101
Carmel School,1137
St Andrew's Grammar,1078
Santa Maria College,1117
Bunbury Cathedral Grammar School,1081
Great Southern Grammar,1075
Trinity College,1113
Woodthorpe School,983
St Mark's Anglican Community School,1119
Mercedes College,1116
School of Isolated and Distance Education,1075
Chisholm Catholic College,1070
Helena College,1110
Aquinas College,1023
Sacred Heart College,1109
Ursula Frayne Catholic College,1097
John Calvin School,1024
St Stephen's School - Duncraig,1118
Duncraig Senior High School,1073
Kennedy Baptist College,1097
Melville Senior High School,1065
Corpus Christi College,1098
Narembeen District High School,1006
Como Secondary College,1074
Geraldton Grammar School,1068
Christian Brothers' College,1089
Divine Mercy College,1056
Carine Senior High School,1088
Christmas Island District High School,1015
Georgiana Molloy Anglican School,1072
Perth Waldorf School,1105
Providence Christian College,1090
Carey Baptist College,1097
Newman College,1114
Grace Christian School,1058
John Septimus Roe Anglican Community School,1070
Australian Islamic College - Kewdale,985
Living Waters Lutheran College,1039
Peter Carnley Anglican Community School,1056
Swan Christian College,1064
Lake Joondalup Baptist College,1105
Prendiville Catholic College,1077
Denmark Senior High School,1038
St Norbert College,1044
Lesmurdie Senior High School,1032
Mazenod College,1067
Woodvale Secondary College,1064
St Mary Mackillop College,1045
St James' Anglican School,1068
Kolbe Catholic College,1046
St Brigid's College,1048
Ellenbrook Christian College,1043
Cornerstone Christian College,1052
Quinns Baptist College,1062
Canning Vale College,1030
Ashdale Secondary College,1030
Harrisdale Senior High School,1041
John Forrest Secondary College,1025
Peter Moyes Anglican Community School,1073
Mandurah Catholic College,1040
Australian Islamic College - Thornlie,993
Australian Christian College - Southlands,1034
Swan Valley Anglican Community School,1045
Boyup Brook District High School,1002
Mater Dei College,1055
Emmanuel Catholic College,1036
Emmanuel Christian Community School,980
Heritage College Perth,1028
Alkimos Baptist College,1035
Margaret River Senior High School,1037
Bunbury Catholic College,1035
Kalbarri District High School,988
Tranby College,1066
Landsdale Christian School,1036
Australian Islamic College - Dianella,972
Kearnan College,1025
Bruce Rock District High School,952
Shark Bay School,945
Pemberton District High School,990
Bunbury John Calvin School,1035
St Joseph's College,1033
Exmouth District High School,1016
Seton Catholic College,1038
Mandurah Baptist College,1051
John Wollaston Anglican Community School,1054
Bunbury Senior High School,1019
